order_id,user_id,date,region,city,platform,traffic_source,category,product_name,price,quantity,discount,payment_method,delivery_days,is_returned,rating,revenue
50001,1518,2024-01-01,Saratov Oblast,Saratov,App,Email,electronics,Wireless Headphones,97.63,3,0,Card,3,0,4.7,292.89
50002,1782,2024-01-02,Primorsky Krai,Vladivostok,App,Paid Search,home,Bed Linen Set,56.51,2,0,SBP,4,0,4.6,113.02
50003,1850,2024-01-03,Krasnodar Krai,Krasnodar,App,Social,electronics,Laptop Lenovo IdeaPad,772.97,2,10,SBP,4,0,4.5,1545.94
50004,1167,2024-01-04,Khabarovsk Krai,Khabarovsk,App,Email,home,Coffee Machine,180.98,2,18,SBP,4,0,4.7,361.96
50005,1656,2024-01-05,Bashkortostan,Ufa,Web,Marketplace,home,Desk Lamp,43.58,1,12,Cash,3,0,4.8,43.58
50006,1512,2024-01-06,Volgograd Oblast,Volgograd,App,Direct,sports,Bicycle Helmet,55.4,1,20,Credit,2,0,4.5,55.4
50007,1142,2024-01-07,Altai Krai,Barnaul,App,Email,auto,Motor Oil,33.32,1,10,Credit,4,0,4.4,33.32
50008,1012,2024-01-08,Tatarstan,Kazan,App,Email,kids,Lego Set,103.46,1,5,Card,4,0,4.5,103.46
50009,1183,2024-01-09,Volgograd Oblast,Volgograd,Web,Social,auto,Dash Camera,75.76,1,20,Card,4,0,4.4,75.76
50010,1827,2024-01-10,Kemerovo Oblast,Kemerovo,App,Email,clothes,Zara Jacket,121.08,1,0,SBP,4,0,4.6,121.08
50011,1541,2024-01-11,Novosibirsk Oblast,Novosibirsk,App,Organic Search,electronics,Laptop Lenovo IdeaPad,837.17,1,0,Credit,2,0,4.2,837.17
50012,1603,2024-01-12,Sverdlovsk Oblast,Yekaterinburg,Web,Organic Search,auto,Phone Holder,28.05,1,10,Cash,3,0,4.8,28.05
50013,1136,2024-01-13,Khabarovsk Krai,Khabarovsk,Web,Direct,home,Coffee Machine,144.84,2,0,Credit,5,0,4.7,289.68
50014,1063,2024-01-14,Novosibirsk Oblast,Novosibirsk,App,Direct,kids,Toy Car,26.32,1,18,Credit,4,0,4.6,26.32
50015,1564,2024-01-15,Yaroslavl Oblast,Yaroslavl,App,Email,sports,Bicycle Helmet,51.63,1,7,Card,3,0,4.6,51.63
50016,1272,2024-01-16,Saint Petersburg,Saint Petersburg,Mobile,Email,clothes,Basic T-Shirt,25.45,1,7,Credit,3,0,4.7,25.45
50017,1544,2024-01-17,Nizhny Novgorod Oblast,Nizhny Novgorod,App,Social,sports,Dumbbells Set,124.34,1,5,Cash,3,0,4.7,124.34
50018,1635,2024-01-18,Saint Petersburg,Saint Petersburg,Web,Direct,auto,Car Vacuum,64.73,1,0,Card,2,0,4.5,64.73
50019,1075,2024-01-19,Voronezh Oblast,Voronezh,Mobile,Email,clothes,Adidas Sneakers,120.86,1,0,Card,2,0,4.5,120.86
50020,1557,2024-01-20,Omsk Oblast,Omsk,App,Email,clothes,Basic T-Shirt,24.16,1,0,SBP,3,0,4.8,24.16
50021,1279,2024-01-21,Krasnoyarsk Krai,Krasnoyarsk,Web,Paid Search,auto,Car Vacuum,50.98,3,0,SBP,4,0,4.6,152.94
50022,1046,2024-01-22,Krasnoyarsk Krai,Krasnoyarsk,App,Marketplace,home,Desk Lamp,48.5,1,20,Card,5,0,4.5,48.5
50023,1379,2024-01-23,Perm Krai,Perm,App,Organic Search,kids,Board Game,30.65,1,0,Cash,5,0,4.1,30.65
50024,1636,2024-01-24,Voronezh Oblast,Voronezh,App,Direct,electronics,Wireless Headphones,105.8,1,0,Cash,3,0,4.2,105.8
50025,1274,2024-01-25,Stavropol Krai,Stavropol,Mobile,Email,auto,Phone Holder,39.87,1,20,Cash,4,0,4.1,39.87
50026,1198,2024-01-26,Orenburg Oblast,Orenburg,Mobile,Organic Search,clothes,Winter Hoodie,53.2,1,5,Credit,4,1,3.6,53.2
50027,1268,2024-01-27,Perm Krai,Perm,Mobile,Social,home,Coffee Machine,140.96,2,15,Cash,3,0,4.7,281.92
50028,1261,2024-01-28,Khabarovsk Krai,Khabarovsk,App,Paid Search,auto,Dash Camera,97.14,1,10,Card,4,0,4.5,97.14
50029,1683,2024-01-29,Kaliningrad Oblast,Kaliningrad,App,Direct,sports,Yoga Mat,43.92,1,12,Credit,5,0,4.7,43.92
50030,1001,2024-01-30,Perm Krai,Perm,Web,Email,sports,Running Shoes,110.54,2,20,SBP,3,0,4.5,221.08
50031,1680,2024-01-31,Nizhny Novgorod Oblast,Nizhny Novgorod,App,Organic Search,home,Desk Lamp,44.97,2,20,SBP,2,0,4.3,89.94
50032,1645,2024-02-01,Tatarstan,Kazan,Web,Email,books,Business Book,34.28,1,25,Cash,1,0,4.4,34.28
50033,1531,2024-02-02,Kaliningrad Oblast,Kaliningrad,App,Email,clothes,Winter Hoodie,123.6,2,0,Credit,3,0,4.7,247.2
50034,1517,2024-02-03,Saint Petersburg,Saint Petersburg,App,Organic Search,beauty,Face Serum,46.0,1,20,Credit,3,0,4.5,46.0
50035,1245,2024-02-04,Tomsk Oblast,Tomsk,Mobile,Marketplace,auto,Motor Oil,45.55,2,15,SBP,3,0,5.0,91.1
50036,1418,2024-02-05,Omsk Oblast,Omsk,App,Social,electronics,Wireless Headphones,81.59,1,3,SBP,3,1,3.6,81.59
50037,1361,2024-02-06,Primorsky Krai,Vladivostok,App,Organic Search,beauty,Face Serum,38.87,3,0,SBP,5,0,4.2,116.61
50038,1696,2024-02-07,Udmurtia,Izhevsk,Web,Marketplace,sports,Dumbbells Set,80.28,1,3,Credit,3,0,4.7,80.28
50039,1187,2024-02-08,Yaroslavl Oblast,Yaroslavl,Mobile,Paid Search,electronics,Smart Watch,158.74,1,12,Card,3,0,4.8,158.74
50040,1553,2024-02-09,Samara Oblast,Samara,App,Social,sports,Yoga Mat,37.98,2,15,Card,3,1,4.0,75.96
50041,1224,2024-02-10,Bashkortostan,Ufa,Web,Marketplace,home,Coffee Machine,170.8,2,10,Credit,3,1,4.1,341.6
50042,1590,2024-02-11,Kaliningrad Oblast,Kaliningrad,App,Paid Search,home,Desk Lamp,54.53,2,0,Credit,3,0,4.9,109.06
50043,1580,2024-02-12,Tyumen Oblast,Tyumen,App,Marketplace,auto,Phone Holder,27.0,2,5,Card,2,0,4.3,54.0
50044,1725,2024-02-13,Bashkortostan,Ufa,App,Marketplace,beauty,Hair Dryer,65.89,2,0,Cash,4,0,4.4,131.78
50045,1286,2024-02-14,Voronezh Oblast,Voronezh,Web,Paid Search,home,Desk Lamp,44.74,2,10,Credit,2,0,4.8,89.48
50046,1283,2024-02-15,Novosibirsk Oblast,Novosibirsk,App,Organic Search,kids,Toy Car,28.26,1,15,Card,2,0,5.0,28.26
50047,1227,2024-02-16,Irkutsk Oblast,Irkutsk,App,Organic Search,auto,Car Vacuum,54.13,2,10,Credit,2,1,3.9,108.26
50048,1739,2024-02-17,Kaliningrad Oblast,Kaliningrad,App,Paid Search,home,Desk Lamp,42.93,1,5,Cash,3,0,4.7,42.93
50049,1233,2024-02-18,Perm Krai,Perm,App,Marketplace,electronics,Smartphone Samsung,413.64,1,10,SBP,3,0,4.7,413.64
50050,1481,2024-02-19,Rostov Oblast,Rostov-on-Don,App,Direct,home,Vacuum Cleaner,212.17,1,18,Credit,1,0,4.7,212.17
50051,1312,2024-02-20,Omsk Oblast,Omsk,App,Organic Search,sports,Bicycle Helmet,40.62,1,10,Card,3,0,4.5,40.62
50052,1636,2024-02-21,Novosibirsk Oblast,Novosibirsk,Web,Paid Search,electronics,Smart Watch,146.37,1,7,Card,5,0,3.9,146.37
